k = 0
E = -19.4408614974123
site	densite
0 0.160096938321482
1 0.160096938321482
2 0.160096938321482
3 0.160096938321482
4 0.160096938321482
5 0.160096938321482
6 0.160096938321482
7 0.160096938321482
8 0.160096938321482
9 0.160096938321482
10 0.160096938321482
11 0.160096938321482
12 0.160096938321482
13 0.160096938321482
14 0.160096938321482
15 0.160096938321482
16 0.160096938321482
17 0.160096938321482
E = -16.7923537749451
site	densite
0 -0.0355183105716403
1 -0.0355183105716403
2 -0.0355183105716403
3 -0.0355183105716403
4 -0.0355183105716403
5 -0.0355183105716403
6 -0.0355183105716403
7 -0.0355183105716403
8 -0.0355183105716403
9 -0.0355183105716403
10 -0.0355183105716403
11 -0.0355183105716403
12 -0.0355183105716403
13 -0.0355183105716403
14 -0.0355183105716403
15 -0.0355183105716403
16 -0.0355183105716403
17 -0.0355183105716403
k = 4
E = -19.4382487125237
site	densite
0 0.333268905069787
1 0.3337629314347
2 0.333268905069787
3 0.3337629314347
4 0.333268905069787
5 0.3337629314347
6 0.333268905069787
7 0.3337629314347
8 0.333268905069787
9 0.3337629314347
10 0.333268905069787
11 0.3337629314347
12 0.333268905069787
13 0.3337629314347
14 0.333268905069787
15 0.3337629314347
16 0.333268905069787
17 0.3337629314347
E = -18.8588446193315
site	densite
0 0.11223385558562
1 0.112890821513025
2 0.11223385558562
3 0.112890821513025
4 0.11223385558562
5 0.112890821513025
6 0.11223385558562
7 0.112890821513025
8 0.11223385558562
9 0.112890821513025
10 0.11223385558562
11 0.112890821513025
12 0.11223385558562
13 0.112890821513025
14 0.11223385558562
15 0.112890821513025
16 0.11223385558562
17 0.112890821513025
E = -18.365088691981
site	densite
0 -0.00749375684989325
1 -0.00723435960591814
2 -0.00749375684989325
3 -0.00723435960591814
4 -0.00749375684989325
5 -0.00723435960591814
6 -0.00749375684989325
7 -0.00723435960591814
8 -0.00749375684989325
9 -0.00723435960591814
10 -0.00749375684989325
11 -0.00723435960591814
12 -0.00749375684989325
13 -0.00723435960591814
14 -0.00749375684989325
15 -0.00723435960591814
16 -0.00749375684989325
17 -0.00723435960591814
E = -17.984179412576
site	densite
0 -0.0497351790211218
1 -0.0511324224832446
2 -0.0497351790211218
3 -0.0511324224832446
4 -0.0497351790211218
5 -0.0511324224832446
6 -0.0497351790211218
7 -0.0511324224832446
8 -0.0497351790211218
9 -0.0511324224832446
10 -0.0497351790211218
11 -0.0511324224832446
12 -0.0497351790211218
13 -0.0511324224832446
14 -0.0497351790211218
15 -0.0511324224832446
16 -0.0497351790211218
17 -0.0511324224832446
E = -17.6850807824096
site	densite
0 -0.0415930918464983
1 -0.0436971395936984
2 -0.0415930918464983
3 -0.0436971395936984
4 -0.0415930918464983
5 -0.0436971395936984
6 -0.0415930918464983
7 -0.0436971395936984
8 -0.0415930918464983
9 -0.0436971395936984
10 -0.0415930918464983
11 -0.0436971395936984
12 -0.0415930918464983
13 -0.0436971395936984
14 -0.0415930918464983
15 -0.0436971395936984
16 -0.0415930918464983
17 -0.0436971395936984
E = -17.3948014194395
site	densite
0 -0.0270359682274615
1 -0.0286194924578566
2 -0.0270359682274615
3 -0.0286194924578566
4 -0.0270359682274615
5 -0.0286194924578566
6 -0.0270359682274615
7 -0.0286194924578566
8 -0.0270359682274615
9 -0.0286194924578566
10 -0.0270359682274615
11 -0.0286194924578566
12 -0.0270359682274615
13 -0.0286194924578566
14 -0.0270359682274615
15 -0.0286194924578566
16 -0.0270359682274615
17 -0.0286194924578566
E = -17.143262967958
site	densite
0 -0.115397327391104
1 -0.11734722315281
2 -0.115397327391104
3 -0.11734722315281
4 -0.115397327391104
5 -0.11734722315281
6 -0.115397327391104
7 -0.11734722315281
8 -0.115397327391104
9 -0.11734722315281
10 -0.115397327391104
11 -0.11734722315281
12 -0.115397327391104
13 -0.11734722315281
14 -0.115397327391104
15 -0.11734722315281
16 -0.115397327391104
17 -0.11734722315281
E = -17.1019340582081
site	densite
0 0.034212819656485
1 0.0339940977714069
2 0.034212819656485
3 0.0339940977714069
4 0.034212819656485
5 0.0339940977714069
6 0.034212819656485
7 0.0339940977714069
8 0.034212819656485
9 0.0339940977714069
10 0.034212819656485
11 0.0339940977714069
12 0.034212819656485
13 0.0339940977714069
14 0.034212819656485
15 0.0339940977714069
16 0.034212819656485
17 0.0339940977714069
E = -16.8662911322905
site	densite
0 0.146876276534733
1 0.148321527036957
2 0.146876276534733
3 0.148321527036957
4 0.146876276534733
5 0.148321527036957
6 0.146876276534733
7 0.148321527036957
8 0.146876276534733
9 0.148321527036957
10 0.146876276534733
11 0.148321527036957
12 0.146876276534733
13 0.148321527036957
14 0.146876276534733
15 0.148321527036957
16 0.146876276534733
17 0.148321527036957
E = -16.8417672748412
site	densite
0 -0.0412083983273277
1 -0.0438594516662009
2 -0.0412083983273277
3 -0.0438594516662009
4 -0.0412083983273277
5 -0.0438594516662009
6 -0.0412083983273277
7 -0.0438594516662009
8 -0.0412083983273277
9 -0.0438594516662009
10 -0.0412083983273277
11 -0.0438594516662009
12 -0.0412083983273277
13 -0.0438594516662009
14 -0.0412083983273277
15 -0.0438594516662009
16 -0.0412083983273277
17 -0.0438594516662009
